Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA4300616,UVAS CANYON COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,3,500,505,NULL,19,NULL,NULL,NULL,19,N1,Transient Non-Community Water System,7/13/2017,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300630,FOOTHILL MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,28,NULL,NULL,28,NULL,NULL,NULL,NULL,10,10,DAVCS,Disadvantaged Small Community Water System,3/23/2017,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300637,LOS RANCHOS DE UVAS WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,58,NULL,NULL,58,NULL,22,NULL,NULL,NULL,22,SC,Small Community,4/6/2018,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300638,SAN MARTIN FOOTHILLS WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,145,NULL,NULL,145,NULL,NULL,NULL,NULL,44,44,SC,Small Community,10/24/2017,SAN MARTIN,NULL,,D1,Distribution Operator Level 1
CA4300716,LUPIN LODGE,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,300,NULL,NULL,300,NULL,22,NULL,NULL,NULL,22,SC,Small Community,8/7/2018,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300721,LOMA PRIETA JUSD-LOMA PRIETA SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,560,NULL,560,NULL,NULL,8,NULL,NULL,8,SP,Non-Transient Non-Community Water System,7/24/2019,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300737,JOSEPH GRANT COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,3,7,300,310,NULL,23,NULL,NULL,NULL,23,N1,Transient Non-Community Water System,10/25/2017,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300740,MOUNTAIN SPRINGS MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,37,NULL,NULL,37,NULL,NULL,NULL,NULL,18,18,SC,Small Community,10/12/2018,LOS GATOS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300741,MIREVAL IMPROVEMENT ASSOCIATION,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,30,24,6,60,NULL,NULL,NULL,NULL,15,15,SC,Small Community,7/21/2020,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300748,THE JUNCTION WATER SYSTEM,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/29/2020,LIVERMORE,NULL,,NR,Not Required
CA4300760,SANTA TERESA MEADOWS WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,68,NULL,NULL,68,NULL,NULL,NULL,NULL,24,24,SC,Small Community,4/15/2019,COYOTE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300763,SANBORN-SKYLINE COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,4,6,400,410,NULL,NULL,24,NULL,4,28,N1,Transient Non-Community Water System,7/19/2018,SARATOGA,NULL,,D1,Distribution Operator Level 1
CA4300764,WALDEN WEST,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,4,19,250,273,1,NULL,2,NULL,2,5,N1,Transient Non-Community Water System,7/19/2018,SARATOGA,NULL,,D1,Distribution Operator Level 1
CA4300766,"SARATOGA SPRINGS, INC.",SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,15,15,150,180,NULL,3,NULL,NULL,25,28,N1,Transient Non-Community Water System,5/17/2018,SARATOGA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300770,THREE SPRINGS RANCH MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,110,NULL,NULL,110,NULL,NULL,NULL,NULL,33,33,SC,Small Community,5/17/2018,MT. HAMILTON,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300771,NEW AVENUE MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,269,NULL,NULL,269,NULL,NULL,NULL,NULL,108,108,SC,Small Community,5/8/2019,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300779,LAKESIDE SD-LAKESIDE SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,127,NULL,127,1,3,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,8/9/2016,LOS GATOS,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300783,HKN LLC,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,NULL,NULL,NULL,NULL,5,5,SP,Non-Transient Non-Community Water System,10/10/2018,MORGAN HILL,NULL,,D1,Distribution Operator Level 1
CA4300791,HGST INC,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,3385,NULL,3385,NULL,NULL,NULL,6,NULL,6,SP,Non-Transient Non-Community Water System,2/21/2018,SAN JOSE,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4300792,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,45,NULL,NULL,45,NULL,NULL,NULL,NULL,19,19,SC,Small Community,7/21/2020,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300808,O'CONNOR HOSPITAL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,SWP,Surface Water Purchased,NULL,2500,NULL,2500,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,12/21/2018,SAN JOSE,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4300814,SCC ANIMAL SHELTER/AIRPORT,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,25,25,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,10/12/2017,SAN MARTIN,NULL,,D1,Distribution Operator Level 1
CA4300815,COYOTE LAKE COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,12,200,214,NULL,44,NULL,NULL,NULL,44,N1,Transient Non-Community Water System,2/14/2019,GILROY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300816,EL CAMINO HOSPITAL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SWP,Surface Water Purchased,NULL,2000,NULL,2000,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,11/29/2017,MT VIEW,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA4300831,MT. EDEN MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,110,NULL,NULL,110,4,NULL,2,NULL,53,59,SC,Small Community,7/17/2018,SARATOGA,NULL,,D1,Distribution Operator Level 1
CA4300832,SOUTH COUNTY RETIREMENT HOME,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,46,NULL,NULL,46,NULL,NULL,NULL,NULL,3,3,SC,Small Community,11/13/2018,SAN MARTIN,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300833,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,SWP,Surface Water Purchased,NULL,3000,NULL,3000,NULL,19,NULL,NULL,NULL,19,SP,Non-Transient Non-Community Water System,3/26/2019,SAN JOSE,NULL,,D2,Distribution Operator Level 2
CA4300839,SAN MARTIN LIONS CLUB,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,3/6/2020,SAN MARTIN,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300851,GARLIC WORLD,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/29/2019,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300856,SPRING VALLEY HEIGHTS ASSOCIATION INC,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,65,NULL,NULL,65,NULL,19,NULL,NULL,NULL,19,SC,Small Community,9/15/2020,MILPITAS,NULL,,D1,Distribution Operator Level 1
CA4300859,LEARNING SERVICES CORP.,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,23,23,NULL,46,NULL,3,NULL,NULL,NULL,3,SP,Non-Transient Non-Community Water System,10/11/2018,GILROY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300909,LICK OBSERVATORY-UCSC,SANTA CLARA,C,Community,C,Community,A,Active,S,State Government,SW,Surface Water,27,NULL,108,135,NULL,NULL,10,NULL,22,32,SC,Small Community,12/11/2019,SAN JOSE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300912,MECCHI WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,104,NULL,NULL,104,NULL,32,NULL,NULL,NULL,32,SC,Small Community,8/22/2017,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300924,PARKWAY LAKES RV PARK,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,250,NULL,NULL,250,NULL,NULL,121,NULL,NULL,121,SC,Small Community,5/28/2019,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300929,MURIEL WRIGHT RESIDENTIAL CENTER,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GWP,Groundwater Purchased,NULL,NULL,46,46,NULL,NULL,3,NULL,NULL,3,N1,Transient Non-Community Water System,8/17/2018,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300937,FIELD SPORTS PARK/COYOTE RANCH,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,4,14,40,58,NULL,4,NULL,NULL,NULL,4,SP,Non-Transient Non-Community Water System,10/30/2018,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300939,COUNTRYSIDE MUSHROOMS INC,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,45,NULL,45,NULL,NULL,NULL,1,NULL,1,SP,Non-Transient Non-Community Water System,8/22/2017,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300941,MONTEREY MUSHROOMS,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,360,NULL,362,NULL,NULL,172,NULL,1,173,SP,Non-Transient Non-Community Water System,8/13/2019,MORGAN HILL,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300948,METCALF MOTORCYCLE COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,7,200,207,NULL,35,NULL,NULL,NULL,35,N1,Transient Non-Community Water System,1/29/2020,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300949,MT. HAMILTON GRANDVIEW RESTAURANT,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,NULL,180,181,NULL,NULL,1,1,NULL,2,N1,Transient Non-Community Water System,9/11/2018,SAN JOSE,TD,Treatment or distribution operator of any grade,NR,Not Required
CA4300951,REFORESTATION TECHNOLOGIES INTERNATIONAL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,35,NULL,35,3,NULL,NULL,3,NULL,6,SP,Non-Transient Non-Community Water System,7/28/2017,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300957,CHRISTOPHER RANCH L.L.C.,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,769,NULL,769,NULL,NULL,26,NULL,NULL,26,SP,Non-Transient Non-Community Water System,5/16/2019,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300964,"NEWBY ISLAND LANDFILL, REPUBLIC SERVICES",SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,55,NULL,55,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,8/15/2016,MILPITAS,NULL,,D1,Distribution Operator Level 1
CA4300967,COYOTE VALLEY SPORTING CLAYS,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,27,27,NULL,NULL,7,NULL,NULL,7,N1,Transient Non-Community Water System,3/27/2018,MORGAN HILL,TD,Treatment or distribution operator of any grade,NR,Not Required
CA4300971,PG&E METCALF,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,100,NULL,100,NULL,NULL,NULL,1,NULL,1,SP,Non-Transient Non-Community Water System,5/19/2016,SAN JOSE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300976,SEED TESTING REAL ESTATE II LLC,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,40,NULL,40,NULL,3,NULL,NULL,NULL,3,SP,Non-Transient Non-Community Water System,12/3/2019,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300978,BRUSH AND OLD WELL MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,70,NULL,NULL,70,NULL,NULL,NULL,NULL,27,27,SC,Small Community,5/17/2018,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300979,QUAIL CREEK ESTATES MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,55,NULL,NULL,55,21,NULL,NULL,NULL,18,39,SC,Small Community,12/2/2019,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300983,WILLOW HEIGHTS MANSION,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,19,250,269,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,4/26/2019,MORGAN HILL,T1,Treatment Operator Level 1,NR,Not Required
CA4300986,CINNABAR HILLS GOLF CLUB,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SWP,Surface Water Purchased,NULL,100,400,500,NULL,7,NULL,NULL,NULL,7,SP,Non-Transient Non-Community Water System,10/26/2017,SAN JOSE,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300987,CALERO COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,10,200,210,NULL,NULL,4,NULL,NULL,4,N1,Transient Non-Community Water System,2/2/2018,SAN JOSE,NULL,,NR,Not Required
CA4300988,GEORGE CHIALA FARMS INC,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,150,100,250,NULL,NULL,NULL,2,NULL,2,SP,Non-Transient Non-Community Water System,6/9/2016,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300989,"GARLIC COUNTRY GOLF, INC.",SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,10/10/2018,GILROY,NULL,,NR,Not Required
CA4300991,CHITACTAC-ADAMS COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,1,10,150,161,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,7/13/2017,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300992,GOLDEN HEIGHTS MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,66,NULL,NULL,66,NULL,NULL,NULL,NULL,21,21,SC,Small Community,10/25/2018,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300993,Z BEST PRODUCTS,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,90,NULL,90,NULL,NULL,NULL,1,NULL,1,SP,Non-Transient Non-Community Water System,6/12/2019,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300994,COYOTE VALLEY RV RESORT,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,500,NULL,NULL,500,NULL,NULL,129,NULL,NULL,129,SC,Small Community,9/25/2019,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300996,VALLEY VIEW RANCHES,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,45,NULL,NULL,45,NULL,NULL,NULL,NULL,16,16,SC,Small Community,4/29/2016,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300997,NASA AMES RESEARCH CENTER,SANTA CLARA,C,Community,C,Community,A,Active,F,Federal Government,SWP,Surface Water Purchased,5300,NULL,NULL,5300,NULL,NULL,NULL,300,NULL,300,SC,Small Community,3/20/2018,MOFFETT FIELD,NULL,,D2,Distribution Operator Level 2
CA4300998,HENRY W COE STATE PARK - DOWDY RANCH,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,12/6/2018,HOLLISTER,NULL,,NR,Not Required
CA4300999,UVAS PINES RV PARK,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,86,NULL,NULL,86,NULL,43,NULL,NULL,NULL,43,SC,Small Community,3/7/2018,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4301003,VO UU BUDDHIST MEDITATION ASSOCIATION,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,8,NULL,25,33,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,6/24/2016,SAN MARTIN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4301004,EMERALD VALLEY MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,43,NULL,NULL,43,NULL,NULL,NULL,NULL,13,13,SC,Small Community,7/19/2019,GILROY,NULL,,D1,Distribution Operator Level 1
CA4301006,FORTINO WINERY,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/3/2019,GILROY,NULL,,NR,Not Required
CA4301011,NESTLDOWN RANCH,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,250,250,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,5/3/2016,LOS GATOS,T1,Treatment Operator Level 1,NR,Not Required
CA4301013,ROCKWOOD ESTATES MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,30,NULL,NULL,30,NULL,NULL,NULL,NULL,14,14,SC,Small Community,10/21/2019,MORGAN HILL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4301014,ALMA LATTER-DAY SAINTS CHURCH,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/28/2017,LOS GATOS,TD,Treatment or distribution operator of any grade,NR,Not Required
CA4310001,CWSC LOS ALTOS SUBURBAN,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,70014,NULL,NULL,70014,NULL,NULL,1184,3,17121,18308,C1,Large Water System,11/18/2019,LOS ALTOS,TD,Treatment or distribution operator of any grade,D5,Distribution Operator Level 5
CA4310004,CITY OF GILROY,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,57315,NULL,NULL,57315,396,NULL,656,53,13420,14525,C1,Large Water System,8/23/2018,GILROY,T1,Treatment Operator Level 1,D4,Distribution Operator Level 4
CA4310005,CITY OF MILPITAS,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,74865,NULL,NULL,74865,687,NULL,708,371,14328,16094,C1,Large Water System,5/9/2018,MILPITAS,NULL,,D5,Distribution Operator Level 5
CA4310006,CITY OF MORGAN HILL,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,45742,NULL,NULL,45742,700,NULL,817,NULL,12970,14487,C1,Large Water System,7/23/2020,MORGAN HILL,T1,Treatment Operator Level 1,D4,Distribution Operator Level 4
CA4310007,CITY OF MOUNTAIN VIEW,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,79492,NULL,NULL,81492,940,NULL,1098,340,15043,17421,C1,Large Water System,11/19/2019,MOUNTAIN VIEW,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA4310009,CITY OF PALO ALTO,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,66721,NULL,NULL,66721,415,NULL,1601,72,17754,19842,C1,Large Water System,10/17/2017,PALO ALTO,TD,Treatment or distribution operator of any grade,D5,Distribution Operator Level 5
CA4310011,SAN JOSE WATER,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,1007514,NULL,NULL,1007514,54,NULL,NULL,20687,201306,222047,C1,Large Water System,6/7/2018,SAN JOSE,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA4310012,CITY OF SANTA CLARA,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,117200,NULL,NULL,117200,NULL,25889,NULL,NULL,NULL,25889,C1,Large Water System,8/21/2018,SANTA CLARA,NULL,,D5,Distribution Operator Level 5
CA4310013,STANFORD UNIVERSITY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,32218,NULL,NULL,32218,157,NULL,568,13,756,1494,C1,Large Water System,6/13/2019,STANFORD,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
